"Gender","Item Purchased","Category","Purchase Amount (USD)","Location","Size","Season","Payment Method","Frequency of Purchases"
"Male","Blouse","Clothing","53","Kentucky","L","Winter","Venmo","Fortnightly"
"Male","Sweater","Clothing","64","Maine","L","Winter","Cash","Fortnightly"
"Male","Jeans","Clothing","73","Massachusetts","S","Spring","Credit Card","Weekly"
"Male","Sandals","Footwear","90","Rhode Island","M","Spring","PayPal","Weekly"
"Male","Blouse","Clothing","49","Oregon","M","Spring","PayPal","Annually"
"Male","Sneakers","Footwear","20","Wyoming","M","Summer","Venmo","Weekly"
"Male","Shirt","Clothing","85","Montana","M","Fall","Cash","Quarterly"
"Male","Shorts","Clothing","34","Louisiana","L","Winter","Credit Card","Weekly"
"Male","Coat","Outerwear","97","West Virginia","L","Summer","Venmo","Annually"
"Male","Handbag","Accessories","31","Missouri","M","Spring","Cash","Quarterly"
"Male","Shoes","Footwear","34","Arkansas","L","Fall","Bank Transfer","Bi-Weekly"
"Male","Shorts","Clothing","68","Hawaii","S","Winter","Bank Transfer","Fortnightly"
"Male","Coat","Outerwear","72","Delaware","M","Winter","Venmo","Fortnightly"
"Male","Dress","Clothing","51","New Hampshire","M","Spring","PayPal","Weekly"
"Male","Coat","Outerwear","53","New York","L","Winter","Debit Card","Weekly"
"Male","Skirt","Clothing","81","Rhode Island","M","Winter","PayPal","Monthly"
"Male","Sunglasses","Accessories","36","Alabama","S","Spring","Debit Card","Bi-Weekly"
"Male","Dress","Clothing","38","Mississippi","XL","Winter","Venmo","Quarterly"
"Male","Sweater","Clothing","48","Montana","S","Summer","Cash","Weekly"
"Male","Pants","Clothing","90","Rhode Island","M","Summer","Debit Card","Bi-Weekly"
"Male","Pants","Clothing","51","Louisiana","M","Winter","Cash","Every 3 Months"
"Male","Pants","Clothing","62","North Carolina","M","Winter","Debit Card","Quarterly"
"Male","Pants","Clothing","37","California","M","Summer","Debit Card","Annually"
"Male","Pants","Clothing","88","Oklahoma","XL","Winter","Credit Card","Weekly"
"Male","Jacket","Outerwear","22","Florida","M","Fall","Debit Card","Weekly"
"Male","Hoodie","Clothing","25","Texas","M","Summer","PayPal","Annually"
"Male","Jewelry","Accessories","20","Nevada","M","Spring","Credit Card","Annually"
"Male","Shorts","Clothing","56","Kentucky","L","Summer","Bank Transfer","Every 3 Months"
"Male","Handbag","Accessories","94","North Carolina","M","Fall","PayPal","Every 3 Months"
"Male","Dress","Clothing","48","Wyoming","S","Fall","Credit Card","Weekly"
"Male","Jewelry","Accessories","31","North Carolina","L","Winter","Credit Card","Monthly"
"Male","Dress","Clothing","79","West Virginia","L","Winter","Venmo","Monthly"
"Male","Jacket","Outerwear","67","Kansas","M","Summer","Venmo","Annually"
"Male","Pants","Clothing","38","Colorado","L","Summer","Cash","Quarterly"
"Male","T-shirt","Clothing","91","North Dakota","L","Spring","PayPal","Quarterly"
"Male","Blouse","Clothing","33","Massachusetts","M","Summer","Credit Card","Bi-Weekly"
"Male","T-shirt","Clothing","69","Illinois","M","Winter","PayPal","Fortnightly"
"Male","Jeans","Clothing","45","Indiana","S","Summer","PayPal","Weekly"
"Male","Dress","Clothing","37","Florida","M","Winter","Venmo","Every 3 Months"
"Male","Pants","Clothing","60","Arizona","S","Summer","Credit Card","Monthly"
"Male","Handbag","Accessories","76","Louisiana","L","Winter","Debit Card","Quarterly"
"Male","Scarf","Accessories","39","Alaska","M","Spring","Venmo","Annually"
"Male","Coat","Outerwear","100","Tennessee","M","Spring","PayPal","Annually"
"Male","Scarf","Accessories","69","Ohio","L","Fall","PayPal","Fortnightly"
"Male","Hat","Accessories","53","Kentucky","S","Summer","PayPal","Weekly"
"Male","Socks","Clothing","21","Tennessee","XL","Fall","PayPal","Annually"
"Male","Shirt","Clothing","43","California","L","Summer","Cash","Quarterly"
"Male","Jewelry","Accessories","54","Montana","M","Winter","Cash","Weekly"
"Male","Shirt","Clothing","55","Nevada","M","Summer","Cash","Monthly"
"Male","Hoodie","Clothing","30","New Jersey","S","Spring","Debit Card","Bi-Weekly"
"Male","Blouse","Clothing","28","Maryland","M","Spring","Debit Card","Bi-Weekly"
"Male","Skirt","Clothing","59","Vermont","XL","Winter","Credit Card","Quarterly"
"Male","T-shirt","Clothing","20","Alaska","M","Summer","Credit Card","Weekly"
"Male","Skirt","Clothing","24","Mississippi","S","Winter","Credit Card","Weekly"
"Male","Coat","Outerwear","94","New Mexico","M","Summer","Debit Card","Bi-Weekly"
"Male","Jacket","Outerwear","28","South Carolina","M","Winter","Credit Card","Annually"
"Male","Backpack","Accessories","73","Mississippi","XL","Summer","Credit Card","Weekly"
"Male","Coat","Outerwear","64","West Virginia","M","Summer","Debit Card","Fortnightly"
"Male","Hoodie","Clothing","54","Missouri","M","Summer","Venmo","Monthly"
"Male","Belt","Accessories","79","Louisiana","L","Spring","Debit Card","Weekly"
"Male","Sweater","Clothing","37","Idaho","L","Summer","Cash","Weekly"
"Male","Scarf","Accessories","68","Texas","M","Winter","Credit Card","Every 3 Months"
"Male","Sneakers","Footwear","21","Mississippi","S","Spring","Credit Card","Fortnightly"
"Male","Sunglasses","Accessories","79","Arizona","L","Winter","Credit Card","Weekly"
"Male","Boots","Footwear","83","Alabama","S","Fall","Debit Card","Fortnightly"
"Male","Backpack","Accessories","36","New Jersey","M","Spring","Venmo","Every 3 Months"
"Male","Blouse","Clothing","94","Pennsylvania","S","Winter","Venmo","Every 3 Months"
"Male","Coat","Outerwear","33","Connecticut","L","Winter","Debit Card","Monthly"
"Male","Handbag","Accessories","46","Utah","L","Summer","Cash","Every 3 Months"
"Male","Belt","Accessories","70","Tennessee","S","Summer","Cash","Weekly"
